slug,name,category,wikidata_id,fame_seed,nicknames,key_tags,hook_seed
boeing-747,Boeing 747,commercial,Q34284,98,"Jumbo Jet;Queen of the Skies","era:jet-age;config:wide-body;config:double-deck;engines:4;role:airliner;role:freighter;country:usa;manufacturer:boeing;fame:iconic","First wide-body; opened mass intercontinental travel; the hump"
boeing-737,Boeing 737,commercial,Q170877,90,"Baby Boeing","era:jet-age;config:narrow-body;engines:2;role:airliner;country:usa;manufacturer:boeing;fame:workhorse","Most produced jetliner ever; MAX controversy arc"
airbus-a380,Airbus A380,commercial,Q9303,95,"Superjumbo","era:21st-century;config:wide-body;config:double-deck;engines:4;role:airliner;country:europe;manufacturer:airbus;fame:iconic;story:commercial-failure","Biggest airliner ever; the death of the four-engine giant"
airbus-a320,Airbus A320,commercial,Q9304,85,"","era:jet-age;config:narrow-body;engines:2;role:airliner;country:europe;manufacturer:airbus;fame:workhorse;tech:fly-by-wire","First fly-by-wire airliner; the 737 rival"
concorde,Concorde,commercial,Q34564,99,"","era:cold-war;config:supersonic;engines:4;role:airliner;country:uk;country:france;fame:iconic;story:tragedy;story:retired","Mach 2 passenger travel; the Paris crash; why we don't have it anymore"
boeing-707,Boeing 707,commercial,Q173441,80,"","era:jet-age;config:narrow-body;engines:4;role:airliner;country:usa;manufacturer:boeing;fame:trailblazer","First successful commercial jet airliner; the Pan Am era"
dc-3,Douglas DC-3,commercial,Q197375,92,"Dakota;Gooney Bird","era:propeller;config:narrow-body;engines:2;role:airliner;role:transport;country:usa;manufacturer:douglas;fame:iconic;story:wartime","The plane that made airlines profitable; still flying after 90 years"
boeing-777,Boeing 777,commercial,Q34664,85,"Triple Seven","era:21st-century;config:wide-body;engines:2;role:airliner;country:usa;manufacturer:boeing;tech:twin-engine-long-haul","Largest twin-engine jet; killed the four-engine widebody"
airbus-a350,Airbus A350,commercial,Q588927,80,"","era:21st-century;config:wide-body;engines:2;role:airliner;country:europe;manufacturer:airbus;tech:composite","Carbon-fiber widebody; the 787 rival"
boeing-787,Boeing 787,commercial,Q190570,82,"Dreamliner","era:21st-century;config:wide-body;engines:2;role:airliner;country:usa;manufacturer:boeing;tech:composite;story:battery-saga","Composite fuselage; the battery fire grounding"
